,id,lat,lon,addr:city,addr:housenumber,addr:state,addr:street,name,phone,capacity,addr:postcode,contact:instagram,email,postal_code,instagram,twitter,addr:housename,location,addr
24,889469733,40.7149567,-74.0094239,,,,,Le Pain Quotidien,,,,,,,,,,,
25,889472802,40.715522,-74.008983,New York,125,NY,Chambers Street,Starbucks,+1 212-791-6368,,10007,,,,,,,,
26,1020359759,40.780542,-73.954568,,1309,,Lexington Avenue,Le Pain Quotidien,+1 212-203-0802,,10128,,,,,,,,
27,1025322222,40.7246121,-73.9843772,,,,,Cafe Social 68,,,,,,,,,,,
28,1028101219,40.7579727,-73.9232898,,,,,Citrico Cafe & Agaveria Bar,718-255-1705,,,,,,,,,,
29,1240901204,40.7671831,-73.9720578,,,,,Dancing Crane Cafe,,,,,,,,,,,
30,1292790745,40.7504996,-73.9791604,New York,90,NY,Park Avenue,Starbucks,+1 212-661-5489,,10016,,,,,,,,
31,1292819650,40.7518527,-73.9775605,,,,,Starbucks,,,,,,,,,,,
32,1379559786,40.6825167,-73.9793167,,57,,4th Avenue,Canteen Delicatessen & Cafe,+1 718 789 2133,,,,,,,,,,
33,1383909693,40.767389,-73.9814374,,,,,Le Pain Quotidien,+13329106866,,,,,,,,,,
34,1383935070,40.7669811,-73.9840167,,,,,Starbucks,,,,,,,,,,,
35,1383935410,40.7675105,-73.9829426,New York,4,NY,Columbus Circle,Starbucks,+1-212-265-0658,,10019,,,,,,,,
36,1383942697,40.7676336,-73.9812871,New York,240,NY,Central Park South,Starbucks,+1-718-635-9564,,10019,,,,,,,,
37,1383954690,40.7649496,-73.979109,,,,,Starbucks,,,,,,,,,,,
38,1383955011,40.7654404,-73.9803003,,,,,Cafe Metro,,,,,,,,,,,
39,1422520991,40.7200059,-73.9600762,Brooklyn,150,NY,Wythe Avenue,Bakeri,,,11249,,,,,,,,
40,1426250385,40.7566623,-73.9858678,New York,1500,NY,Broadway,Starbucks,+1 212-221-7515,,10036,,,,,,,,
41,1426275725,40.7566921,-73.9867194,New York,3,,Times Square,Europa Cafe,,,,,,,,,,,
42,1427265079,40.7539377,-73.9768745,,,,,The Beer Bar Cafe Centro,,,,,,,,,,,
43,1427265082,40.7543596,-73.9763714,,,,,Starbucks,,,,,,,,,,,
44,1427265083,40.7538356,-73.9761648,,,,,Naples 45,,,,,,,,,,,
45,1427273332,40.7529578,-73.9752216,,,,,Starbucks,,,,,,,,,,,
46,1427273368,40.7523179,-73.9738176,,,,,Maman,,,,,,,,,,,
47,1427285902,40.7520527,-73.9759313,,,,,Starbucks,,,,,,,,,,,
48,1427286079,40.750611,-73.9768239,,370,,Lexington Avenue,Zucker's Bagels & Smoked Fish,+1-212-661-1080,,10017,,,,,,,,
49,1427286257,40.7519302,-73.978195,,,,,Central Cafe,,,,,,,,,,,
50,1427499765,40.7519234,-73.9797222,New York,295,NY,Madison Avenue,Starbucks,,,10017,,,,,,,,
51,1428036328,40.7528897,-73.9811056,,,,,Andaz,,,,,,,,,,,
52,1428036650,40.7545385,-73.9840441,,,,,Wafels and Dinges,,,,,,,,,,,
53,1428185672,40.7490233,-73.9822288,New York,200,NY,Madison Avenue,Starbucks,+1 212-684-6873,,10016,,,,,,,,
54,1428185707,40.7433913,-73.9892649,New York,1123,,Broadway,Broadway Cafe,+1-212-727-9797,,10010,,,,,,,,
55,1428427548,40.7538901,-73.9787699,New York,340,NY,Madison Avenue,Starbucks,+1 212-867-0928,,10173,,,,,,,,
56,1428427554,40.7570782,-73.9759556,,,,,Starbucks,,,,,,,,,,,
57,1428427562,40.7613683,-73.9737843,,,,,Starbucks,,,,,,,,,,,
58,1490626144,40.679722,-73.9780478,,,,,Clever Blend,,,,,,,,,,,
59,1584932886,40.7444662,-73.9747193,,,,,El Parador Café,,,,,,,,,,,
60,1584932953,40.7436871,-73.9769314,New York,585,NY,2nd Avenue,Starbucks,+1 212-684-1299,,10016,,,,,,,,
61,1640916377,40.6764594,-73.9625671,,,,,Aura,,,,,,,,,,,
62,1666603088,40.80593,-73.9545289,New York,2195,NY,Frederick Douglass Boulevard,Starbucks,+1 212-662-1239,,10026,,,,,,,,
63,1706038616,40.7557338,-73.9824831,,,,,Gregory Coffee,,,,,,,,,,,
64,1707825822,40.7544373,-73.9953011,,462,,9th Avenue,Sushi Star,+1 212-279-1010,,10018,,sushistarny@gmail.com,,,,,,
65,1707825823,40.754189,-73.9954886,,454,,9th Avenue,Starstruck Coffee,+1 3479125500,,10018,,info@starstruckcoffee.org,,,,,,
66,1737296859,40.7202016,-74.0139829,New York,,NY,,Sweet Love Snack Bar,,,,,,,,,,,
67,1754412984,40.7330073,-73.9897302,New York,123,NY,4th Avenue,Think Coffee,,,10003,,,,,,,,
68,1754975219,40.7420998,-73.9196581,,45-01,,Greenpoint Avenue,Ave Coffee House,,,,,,,,,,,
69,1767273825,40.7002323,-73.9933602,,,,,Tutt Café,+1-718-722-7777,,,,,,,,,,
70,1767282008,40.6995716,-73.9921353,,,,,Poppy's Cafe,,,,,,,,,,,
71,1770858847,40.669376,-73.9630352,,,,,,,,,,,,,,,,
72,1795796594,40.6777429,-73.9686298,,645,,Vanderbilt Avenue,Olde Brooklyn Bagel Shoppe,+1-718-622-6227,7,11238,,,,,,,,
73,1802885415,40.7562302,-73.9750931,New York,280,NY,Park Avenue,Starbucks,+1 917-723-0193,,10172,,,,,,,,
74,1810737611,40.7952322,-73.9655391,New York,805,NY,Columbus Avenue,Starbucks,+1 212-222-6582,,10025,,,,,,,,
75,1821015958,40.7879675,-73.9764443,New York,2350,NY,Broadway,Broad Nosh Bagel,+1-212-600-0933,,10025,,,,,,,,
76,1821015965,40.7883801,-73.977098,New York,250,NY,West 86th Street,The Crossbar,+1 212-580-8923,,10024,crossbar.nyc,,,,,,,
77,1825739845,40.739372,-74.002526,New York,122,NY,Greenwich Avenue,Starbucks,+1 212-366-4672,,10011,,,,,,,,
78,1827182566,40.6784602,-73.9641499,,,,,The Bakery on Bergen,+1-917-519-6549,,,,,,,,,,
79,1853451181,40.739495,-74.0029857,New York,73,NY,8th Avenue,Think Coffee,,,10014,,,,,,,,
80,1865211623,40.7224661,-73.9488216,,277,,Driggs Avenue,Uro Cafe,,,,,,,,,,,
81,1868984359,40.7337954,-74.0064644,,518,,Hudson Street,Starbucks,,,10014,,,,,,,,
82,1899033653,40.7580159,-73.9889989,,,,,Starbucks,,,,,,,,,,,
83,1900975316,40.7644259,-73.9810737,,,,,Starbucks,,,,,,,,,,,
84,1917136131,40.719348,-73.9899978,New York,80,NY,Delancey Street,Starbucks,+1 917-534-1397,,10002,,,,,,,,
85,1919602938,40.7235092,-73.9913293,,,,,La Colombe Coffee Roasters,,,,,,,,,,,
86,1967406009,40.8109307,-73.9428375,New York,404,NY,Lenox Avenue,Astor Row Cafe,,,10037,,,,,,,,
87,1979669269,40.7141835,-73.9616239,Brooklyn,300,NY,Bedford Avenue,Black Brick,,,11211,,,,,,,,
88,1994680562,40.7849274,-73.9788012,New York,2252,NY,Broadway,Starbucks,+1 212-721-1267,,10024,,,,,,,,
89,1999231230,40.7117855,-73.9514399,,379,,Union Avenue,The West,,,11211,,,,,,,,
90,2011782281,40.7082349,-74.0076153,New York,90,NY,William Street,BlueSpoon Coffee Co,+1 212-809-8880,,10038,,,,,,,,
91,2017709329,40.73749,-73.87685,,,,,,,,,,,,,,,,
92,2020487652,40.7364693,-73.9790705,,,,,Möge Tee,+1-646-370-5846,,,,,,,,,,
93,2020724922,40.7375845,-74.0001443,New York,35,NY,7th Avenue,Whole Green,,,10011,,,,,,,,
94,2033946685,40.7072305,-74.0123877,,,,,Bean And Bean,,,,,,,,,,,
95,2034011016,40.7043817,-74.0130472,New York,2,NY,Broadway,Starbucks,+1 212-344-4290,,10004,,,,,,,,
96,2039276429,40.9065782,-73.9044152,,,,,Carlos and Gabby's,,,,,,,,,,,
97,2041169444,40.8735418,-73.9084923,New York,40,NY,West 225th Street,Starbucks,+1 718-733-7199,,10463,,,,,,,,
98,2045635524,40.7401504,-73.984507,,38B,,Lexington Avenue,CoCo Fresh Tea & Juice,,,,,,,,,,,
99,2045635529,40.7405189,-73.984262,,,,,Starbucks,,,,,,,,,,,
100,2047269475,40.7101916,-74.0079702,New York,130,NY,Fulton Street,Starbucks,+1 212-962-0439,,10038,,,,,,,,
101,2065455029,40.722517,-73.997904,New York,72,,Spring Street,Starbucks,+1-212-219-2961,,10002,,,,,,,,
102,2066808156,40.760478,-73.9218592,Astoria,35-05,,Broadway,Brooklyn Bagel,,,,,,,,,,,
103,2091641953,40.8010232,-73.9587555,New York,301,NY,Cathedral Parkway,Cafe Amrita,+1-212-222-0683,,10026,,,,,,,,
104,2109918801,40.725584,-73.9947398,New York,337,NY,Lafayette Street,Bite,,,,,,,,,,,
105,2139130920,40.6917184,-73.9711843,,,,,Peckish,+1-929-387-8188,,,,,,,,,,
106,2178336350,40.7212256,-73.984094,New York,3,NY,Clinton Street,Pause Cafe,+1-212-677-5415,,10002,,,,,,,,
107,2178743034,40.757236,-73.9891169,Port Authority,625,NY,Eighth Avenue,Starbucks,+1 212-273-9613,,10018,,,,,,,,
108,2183010458,40.7059471,-74.0116452,,40,,Broad Street,Joe & The Juice,,,,,,,,,,,
109,2183010462,40.7035248,-74.0108884,,66,,Pearl Street,787 Coffee,+1 646-449-9200,,10004,,,,,,,,
110,2183010472,40.7037137,-74.0104781,New York,74,NY,Pearl Street,Springbone Kitchen,+1-917-639-3655,,10004,,,,,,,,
111,2183010488,40.7051728,-74.011298,New York,55,NY,Broad Street,Starbucks,+1 212-742-2490,,10004,,,,,,,,
112,2186522367,40.7068069,-74.0085989,,,,,Taz Cafe,,,,,,,,,,,
113,2186605427,40.7471411,-73.9560426,,4615,,Center Boulevard,Sweetleaf,,,11109,,,,,,,,
114,2186614190,40.7046071,-74.0091159,New York,110,NY,Pearl Street,Starbucks,+1 212-482-6530,,10005,,,,,,,,
115,2192591869,40.7127224,-73.9570033,Brooklyn,314,NY,Grand Street,For All Things Good,+1 646 238 2068,,11211,,,,,,,,
116,2195218439,40.7924179,-73.9738031,New York,2481,NY,Broadway,Moka,,,10025,,,,,,,,
117,2259012625,40.6814376,-73.9346162,,,,,Brooklyn Tea,,,,,,,,,,,
118,2268953602,40.734967,-73.9582704,Brooklyn,258,NY,Franklin Street,Eagle Trading Company,+1-718-576-3217,,11222,,,,,,,,
119,2268954021,40.7296813,-73.9581821,Brooklyn,70,NY,Greenpoint Avenue,Kettl,+1-917-909-1309,,11222,,,,,,,,
120,2268954771,40.6976119,-73.9361072,,,,,Skytown,+1-347-435-3252,,,,,,,,,,
121,2274110508,40.7054406,-73.9334626,Brooklyn,49,NY,Bogart Street,Swallow Cafe,,,11206,,,,,,,,
122,2274489113,40.7095666,-73.8302846,Kew Gardens,82-60,NY,Austin Street,Roast & Co,,,11415,,,,,,,,
123,2274508178,40.7090136,-73.8299789,Kew Gardens,81-09,NY,Lefferts Boulevard,Baker's Dozen Bagels,,,11415,,,,,,,,
124,2276315902,40.7341833,-73.9550701,,,,,Little Armenia,,,,,,,,,,,
125,2279508475,40.7308318,-73.983183,,219,,1st Avenue,Starbucks,,,10003,,,,,,,,
126,2294802411,40.7602221,-73.9750354,,,,,Le Pain Quotidien,,,,,,,,,,,
127,2296374964,40.7175527,-73.9411987,Brooklyn,135,,Woodpoint Road,Tar Pit,+1 917-705-8031,,11211,tarpit,,,,,,,
128,2303950107,40.7851171,-73.9766494,New York,461,NY,Amsterdam Avenue,Chalait,,,10024,,,,,,,,
129,2304436416,40.6904311,-73.9944268,,200,,Clinton Street,Bagel Cafe,+1-718-254-9000,,11201,,,,,,,,
130,2307164608,40.7468389,-73.9933857,,,,,GiGi Cafe,,,,,,,,,,,
131,2308955289,40.8101961,-73.9618962,New York,550,NY,West 120th Street,Joe Coffee Company,+1-212-924-7400,125,10027,,,,,,,,
132,2310498477,40.771384,-73.9824717,New York,1889,NY,Broadway,Starbucks,+1-212-245-1362,,10023,,,,,,,,
133,2338757145,40.7932055,-73.9675462,New York,750,NY,Columbus Avenue,Birch Coffee,,,10025,,96thstreet@birchcoffee.com,,,,,,
134,2340960566,40.808949,-73.9609388,,,,,Uris Deli,,,,,,,,,,,
135,2340960685,40.8094957,-73.9602878,,,,,Blue Java,,,,,,,,,,,
136,2357937257,40.7761432,-73.9502069,New York,1631,NY,1st Avenue,Starbucks,+1 212-737-6534,,10028,,,,,,,,
137,2357937268,40.7859465,-73.9507027,New York,1491,NY,Lexington Avenue,Starbucks,+1 212-369-0313,,10029,,,,,,,,
138,2358048509,40.7333179,-74.0005572,New York,141,NY,Waverly Place,Joe Coffee Company,+1 212-924-6750,,10014,,,,,,,,
139,2358048512,40.7332121,-74.0026862,New York,74,NY,Grove Street,Starbucks,,,10014,,,,,,,,
140,2377128136,40.7461544,-73.9975859,New York,286,NY,8th Avenue,Brooklyn Bagel & Coffee Company,,,10001,,,,,,,,
141,2377128148,40.7439702,-73.9997102,New York,211,NY,8th Avenue,St Kilda Coffee,,,10011,,info@stkildacoffee.com,,,,,,
142,2377128172,40.7447814,-73.9985854,New York,500,NY,6th Avenue,Zucker's,,,10011,,,,,,,,
143,2377128180,40.7411054,-74.0012613,New York,124,NY,8th Avenue,Starbucks,+1 212-462-2020,,10011,,,,,,,,
144,2377128182,40.7451876,-73.9988416,New York,300,NY,West 23rd Street,Starbucks,+1 646-638-1571,,10011,,,,,,,,
145,2384821679,40.7384873,-74.0000074,,,,,Bagel and More,,,,,,,,,,,
146,2384821772,40.7388452,-73.9998143,New York,203,NY,West 14th Street,The Donut Pub,,,10001,thedonutpub,,,,,,,
147,2409398832,40.7857253,-73.9729983,New York,514,NY,Columbus Avenue,Joe Coffee Company,+1 212-875-0100,,10024,,,,,,,,
148,2414094417,40.7822907,-73.9792081,New York,368,NY,Amsterdam Avenue,Bagel Talk,+1-212-875-1267,,10024,,,,,,,,
149,2422377040,40.7131024,-73.9623534,Brooklyn,328,,Bedford Avenue,Oslo Coffee Roasters,,,11211,,,,,,,,
150,2423037502,40.761405,-73.9678672,,,,,Starbucks,,,,,,,,,,,
151,2423176814,40.7694073,-73.9848933,New York,2,NY,Columbus Avenue,Starbucks,+1 212-489-6757,,10023,,,,,,,,
152,2438940207,40.7871147,-73.9719656,New York,556,NY,Columbus Avenue,Columbus Cafe,+1-212-721-9040,,10024,,,,,,,,
153,2439082123,40.7179682,-73.9591782,,125,,North 6th Street,Partners Coffee,+1 347-586-0063,,11249,,,,,,,,
154,2443892139,40.7777547,-73.9826132,New York,2045,NY,Broadway,Starbucks,+1 212-496-1551,,10023,,,,,,,,
155,2460552261,40.6680649,-73.9877252,Brooklyn,318,NY,11th Street,Casita of Brooklyn,+1-347-889-5849,,11215,,,,,,,,
156,2486570141,40.7231858,-73.9901312,,137,,East Houston Street,Yonah Shimmel Knish Bakery,+1-212-477-2858,,10002,,,,,,,,
157,2493964408,40.6468222,-73.9700366,,1007,,Church Avenue,LARK cafe,,,11218,,,,,,,,
158,2494066985,40.6909413,-73.9962942,,119,,Atlantic Avenue,Salter House,+1-347-987-4675,,11201,,,,,,,,
159,2494067738,40.6912914,-73.997559,,79,,Atlantic Avenue,Diem Eatery,+1-917-909-1037,,11201,,,,,,,,
160,2494071345,40.6837765,-73.9541584,,1180,,Bedford Avenue,Napoleon's Southern Cuisine & Bakery,+1-347-663-3069,,11216,,,,,,,,
161,2494104052,40.6475187,-73.973854,,622,,Caton Avenue,Parade Café,,,11218,,,,,,,,
162,2494127828,40.7268178,-73.9887455,,88,,2nd Avenue,Sunflower,,,10003,,,,,,,,
163,2494208354,40.6722202,-73.9835759,,337,,5th Avenue,Hungry Ghost,,,11215,,,,,,,,
164,2494221616,40.6767302,-73.9559227,,942,,Bergen Street,Word of Mouth,,,11238,,,,,,,,
165,2494226535,40.6738326,-73.9822047,Brooklyn,279,,5th Avenue,Velvette Brew Espresso Bar,,,11215,,,,,,,,
166,2494243515,40.6847629,-73.9919462,,202,,Smith Street,Smith St. Bagels,+1 347-341-8192,,11201,,,,,,,,
167,2494245451,40.728772,-73.9877814,New York,133,NY,2nd Avenue,Xing Fu Tang,+1-718-799-0220,,10003,,,,,,,,
168,2494245665,40.7297726,-73.98948,New York,31,NY,3rd Avenue,The Bean,,,10003,,,,,,,,
169,2494279212,40.6375227,-73.9684934,,816,,Coney Island Avenue,Urgut Osh Markazi,+1-718-521-4343,,11218,,,,,,,,
170,2494291744,40.671195,-73.9884777,,205,,8th Street,Room No. 205,,,11215,@roomno205,,,,,,,
171,2494312775,40.6982639,-73.9927853,,90,,Henry Street,Plymouth Café,+1-718-624-0074,,11201,,,,,,,,
172,2506680554,40.6789434,-73.9638264,,621,,Washington Avenue,Mooliauno’s Trapp Kitchen,,,11238,@mooliaunostrappkitchen,,,,,,,
173,2522802832,40.7787541,-73.9141762,,,,,Gold N Honey,,,,,,,,,,,
174,2522802835,40.779282,-73.9155723,,,,,Waltz Astoria,,,,,,,,,,,
175,2522802848,40.7747031,-73.9084483,Astoria,,NY,Ditmars Boulevard,Brooklyn Bagel & Coffee Co.,,,11105,,,,,,,,
176,2522802854,40.7747988,-73.913727,,,,,New York City Bagel and Coffee House,,,,,,,,,,,
177,2524539379,40.6862203,-73.9909614,Brooklyn,164,NY,Smith Street,Starbucks,+1 718-422-0178,,11201,,,,,,,,
178,2525593698,40.6358633,-73.9623411,,1514,,Newkirk Avenue,Coffee Mob,,,,,info@coffeemob.com,,,,,,
179,2545431426,40.5530397,-74.1927658,,262F,,Arden Avenue,Buddy's Cafe Play Place,+1-347-562-4842,,10312,,,,,,,,
180,2546985590,40.7258624,-73.9898947,,57,,2nd Avenue,Kona Coffee and Company,,,10003,,,,,,,,
181,2547036417,40.726927,-73.9957148,,651,,Broadway,Grabenstein's Bagels,,,10012,,,,,,,,
182,2547041086,40.7225241,-73.9934347,New York,1,NY,Prince Street,PlantShed,+1-212-662-4400,,10012,,,,,,,,
183,2547054885,40.7256046,-73.98962,,,,,The Bean,+1-917-262-0929,,,,,,,,,,
184,2547109169,40.7261039,-73.9987153,New York,145,NY,Greene Street,Felix Roasting Co.,,,10012,,,,,,,,
185,2547110379,40.7268477,-74.0001615,,,,,Starbucks,,,,,,,,,,,
186,2547121461,40.7289718,-73.984521,New York,163,NY,1st Avenue,Gelatoville Gelataria,,,10003,,,,,,,,
187,2547121512,40.7289974,-73.984701,New York,241,NY,East 10th Street,Not as Bitter,+16469393129,,10003,,hello@notasbitter.com,,,,,,
188,2547155234,40.7304731,-73.9894757,,36,,3rd Avenue,Hidden Grounds,,,10003,,,,,,,,
189,2547162163,40.7301234,-73.9941159,New York,11,NY,Waverly Place,Lazy Sundaes,,,10003,,,,,,,,
190,2547162213,40.7302457,-73.9939666,New York,293,NY,Mercer Street,Matto Espresso,+13478828000,,10003,,,,,,,,
191,2547200395,40.7343881,-73.9910564,New York,841,NY,Broadway,Max Brenner,+1-646-467-8803,,10003,,USQreservations@maxbrenner.com,,,,,,
192,2547200402,40.7350879,-73.9933063,New York,9,,East 13th Street,Joe Coffee Company,+1 212-924-3300,,10003,,,,,,,,
193,2547241579,40.7213537,-73.9977481,,201,,Lafayette Street,Citizens,,,10012,,,,,,,,
194,2547241611,40.7239788,-73.9964591,,270,,Lafayette Street,La Colombe Coffee Roasters,,,10012,,,,,,,,
195,2547688765,40.625146,-73.9605679,Brooklyn,1520,NY,Avenue J,Starbucks,,,11230,,,,,,,,
196,2549884902,40.6986611,-73.99436,Brooklyn,102,NY,Hicks Street,Joe Coffee Company,,,11201,,,,,,,,
197,2549890557,40.6563523,-73.960214,,696C,,Flatbush Avenue,Loud Baby,+1-718-938-9782,,11226,,,,,,,,
198,2549893289,40.687511,-73.9979469,,402,,Henry Street,Fare & Folk,,,11201,,,,,,,,
199,2549908128,40.6553542,-73.9565051,,2024,,Bedford Avenue,Cups and Books,,,11226,,,,,,,,
200,2549911944,40.6789942,-73.9681778,,,,,Brooklyn High Low,+1-646-907-9467,,,,,,,,,,
201,2549918806,40.6894847,-73.9725415,,180,,DeKalb Avenue,Bittersweet,,,11205,,,,,,,,
202,2549928994,40.7273871,-73.9852333,,,,,The Wild Son Lunch Counter,+1-212-727-7900,,,,,,,,,,
203,2549948620,40.7445908,-73.988682,New York,1158,NY,Broadway,Cha Cha Matcha,,,10001,,,,,,,,
204,2549967215,40.6842945,-73.996843,,243,,Degraw Street,Poppy's Cafe,+1-646-459-2716,,11231,,,,,,,,
205,2550007703,40.724302,-73.9912261,,,,,Kollectiv,+1-212-228-5909,,,,,,,,,,
206,2550022491,40.6805213,-73.9892924,,,,,Cafecito Social,,,,,,,,,,,
207,2550046897,40.7299427,-73.999592,New York,240,NY,Sullivan Street,Third Rail Coffee,,,10012,,,,,,,,
208,2550051091,40.7338779,-74.0004371,,14,,Christopher Street,Whynot,,,10014,,,,,,,,
209,2550054002,40.6812527,-73.9756418,,210,,Flatbush Avenue,Thermostat,+1-347-677-3418,,11217,,,,,,,,
210,2550064303,40.6886044,-73.9834746,,276,,Livingston Street,Devoción,,,11217,,,,,,,,
211,2550074047,40.6747057,-73.9979228,Brooklyn,478,NY,Smith Street,Atelier Ariana,+1-718-614-3582,,11231,,,,,,,,
212,2550112121,40.710612,-73.7928298,Jamaica,169-02,NY,Hillside Avenue,Richie’s Place Coffee Shop,+1-718-297-4006,,11432,,,,,,,,
213,2550112949,40.7775475,-73.9784645,,261,,Columbus Avenue,72nd Eatery,+1-212-721-7800,,,,,,,,,,
214,2550140535,40.6811681,-73.9499172,,518,,Nostrand Avenue,Le Paris Dekar,,,11216,,,,,,,,
215,2550140538,40.6808601,-73.9498314,,524,,Nostrand Avenue,Brooklyn Tea,+1-347-240-4281,,11216,brooklyntea,,,,,,,
216,2550142989,40.6803577,-73.9466911,,,,,Le Paris Dekar,,,,,,,,,,,
217,2550150589,40.6813832,-73.9575678,,,,,HealHaus Cafe,+1-347-413-7774,,,,,,,,,,
218,2550565259,40.6732806,-73.9830685,,,,,Simple Loaf,+1-347-384-2205,,,,,,,,,,
219,2550581361,40.6691315,-73.9894619,,,,,Maya & Camila Cafe,,,,,,,,,,,
220,2550585168,40.6674284,-73.9881499,,276B,,12th Street,Daily Dose,,,11215,,,,,,,,
221,2550661504,40.5716024,-74.1121286,,314,,New Dorp Lane,Something Sweet,,,10306,,,,,,,,
222,2550901690,40.7080879,-73.8027719,Jamaica,159-03,NY,Hillside Avenue,Bubble Tea Garden,(718) 487-4814,,11432,,,,,,,,
223,2550990526,40.7285415,-73.7827809,,185-26,,Union Turnpike,Lulu's,,,11366,,,,,,,,
224,2551696571,40.7265425,-73.789793,,178-07,,Union Turnpike,Cafe Musscat,,,11366,,,,,,,,
225,2552486455,40.6385548,-74.0354762,Brooklyn,10,NY,Bay Ridge Avenue,Pier 69 Market,,,11220,,,,,,,,
226,2552542724,40.6173362,-74.0333855,,9419,,3rd Avenue,Mr. Bagel's Cafe,+1-718-836-3000,,11209,,,,,,,,
227,2552544634,40.617533,-74.033308,,9413,,3rd Avenue,Pep,+1-929-397-0094,,11209,,,,,,,,
228,2552595875,40.6212293,-74.0318014,Brooklyn,8901,NY,3rd Avenue,Panino Rustico,+1-718-333-5144,,11209,,,,,,,,
229,2552692643,40.631177,-74.0280699,,,,,Bagel Schmagel,+1-718-833-1774,,,,,,,,,,
230,2552708688,40.635594,-74.0262812,,,,,Felfa,+1-718-333-5570,,,,,,,,,,
231,2552775452,40.6358071,-74.0258393,,6823,,3rd Avenue,Cozy Spot,,,11220,,,,,,,,
232,2552908995,40.6289017,-74.0230572,,7526,,5th Avenue,Jean Danet Pastry,+1-718-737-7152,,11209,,,,,,,,
233,2552912772,40.7394038,-73.7855258,Fresh Meadows,61-51,NY,188th Street,Starbucks,+1 718-264-0658,,11365,,,,,,,,
234,2552942681,40.5782572,-73.9594472,Brooklyn,1001,,Brighton Beach Avenue,Maison De Viennoiseries,+1 347-492-6761,,11235,,,,,,,,
235,2552982111,40.6248571,-74.0243627,,8101,,5th Avenue,Maison De Viennoijevieg,,,11209,,,,,,,,
236,2553306722,40.7490519,-73.7560999,Oakland Gardens,221-04,NY,Horace Harding Expressway,Starbucks,+1 917-579-9415,,11364,,,,,,,,
237,2553343248,40.7407055,-73.7591127,,215-03,,73rd Avenue,Bagel Shoppe,,,11364,,,,,,,,
238,2553613124,40.6079569,-73.9592031,Brooklyn,1698,NY,East 14th Street,Gong Cha,+1-347-587-4500,,11229,,,,,,,,
239,2555098994,40.718849,-73.9966792,,147,,Mott Street,Haven Cafe,,,10013,,,,,,,,
240,2555099000,40.7195996,-73.9963707,,,,,Chiu Hong Bakery & Restaurant,+1-212-966-7664,,,,,,,,,,
241,2555120465,40.7218498,-74.0008229,New York,54,,Mercer Street,Bibliotheque Cafe & Winebar,,,10013,,,,,,,,
242,2555123830,40.7172462,-73.9950457,New York,145,NY,Hester Street,Teado Tea Shop,+1-212-226-7687,,10002,,,,,,,,
